
> jules-subagents@1.2.0 start
> node dist/index.js

[dotenv@17.3.1] injecting env (0) from .env -- tip: ⚙️  specify custom .env file path with { path: '/custom/path/.env' }
(node:252969) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
2026-04-02T11:55:42.334Z INFO Dashboard server started { service: 'sprint-os', component: 'dashboard-server', port: 4444, localhostUrl: 'http://localhost:4444', loopbackUrl: 'http://127.0.0.1:4444' }
2026-04-02T11:55:42.335Z WARN Jules API key is not set. Jules-native tools are disabled; Gemini/Codex CLI providers can still run. { service: 'sprint-os' }
2026-04-02T11:55:42.336Z WARN Jules API key is not configured.
Set it in one of these locations:
1. `.env` file (`JULES_API_KEY=...`)
2. `.settings` file (`.sprint-os/settings.json` with `julesApiKey`)
3. Dashboard settings at http://localhost:4444
If your key is already set system-wide, restart this process in that environment.
After saving the key, retry your command. { service: 'sprint-os' }
2026-04-02T11:55:42.336Z INFO Sprint OS MCP server running on stdio { service: 'sprint-os', version: '1.2.0' }
2026-04-02T11:57:10.644Z INFO [correlationId=efa64ec8-0db8-4405-8bc9-f96247d74cdf] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/config', statusCode: 200, durationMs: 14 }
2026-04-02T11:57:10.834Z INFO [correlationId=b1ea0091-60ec-4186-bf3e-1ae3dd18607a] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/vendor-BExK0d70.js', statusCode: 200, durationMs: 5 }
2026-04-02T11:57:10.839Z INFO [correlationId=f24ddbae-7525-4232-83f4-060fd64979c1] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/index-DBrgNukz.css', statusCode: 200, durationMs: 11 }
2026-04-02T11:57:10.842Z INFO [correlationId=071a4bbb-98ca-4c6b-902d-8a924a1fa56e] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/index-CyKd0Y8p.js', statusCode: 200, durationMs: 17 }
2026-04-02T11:57:10.843Z INFO [correlationId=1cd34b99-3ebe-486b-aa73-3099d7e82b6c] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/three-C_UKAyhS.js', statusCode: 200, durationMs: 13 }
2026-04-02T11:57:11.463Z INFO [correlationId=a12c1b5d-e0b3-42d6-b3eb-4b6849f9c1f5] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/SettingsSurface-BoPWBVlo.js', statusCode: 200, durationMs: 9 }
2026-04-02T11:57:11.470Z INFO [correlationId=7449d9b1-cc7a-437c-a751-0ed84d867e86] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/SettingsPage-0cs72_Pq.js', statusCode: 200, durationMs: 19 }
2026-04-02T11:57:11.472Z INFO [correlationId=2bb32e20-cae2-4e2d-acd7-6fe940ff9dae] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/check-B6Mz37QN.js', statusCode: 200, durationMs: 12 }
2026-04-02T11:57:11.474Z INFO [correlationId=a209206f-7ec2-4b4d-b795-842e24b034c1] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/refresh-cw-CNuy092Q.js', statusCode: 200, durationMs: 13 }
2026-04-02T11:57:11.475Z INFO [correlationId=df49df89-e92f-4390-8351-546bf0c754b9] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/target-oLltUpJP.js', statusCode: 200, durationMs: 6 }
2026-04-02T11:57:12.038Z INFO [correlationId=7dc0b376-5389-466e-ab92-62a0473199b6] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/projects', statusCode: 200, durationMs: 3 }
2026-04-02T11:57:12.425Z INFO [correlationId=d1b477cc-5600-474f-ab9a-25810caa586c] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/system-settings', statusCode: 200, durationMs: 1 }
2026-04-02T11:57:12.435Z INFO [correlationId=aa0ec3bc-d3db-4b39-976b-28303996254b] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/settings/import-sources', statusCode: 200, durationMs: 3 }
2026-04-02T11:58:17.949Z INFO [correlationId=bbb33927-89f0-4410-b3da-719035f90167] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/config', statusCode: 200, durationMs: 3 }
2026-04-02T11:58:17.974Z INFO [correlationId=f55659a3-c6e4-4aae-86e4-b8bb1929ebbd] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/vendor-BExK0d70.js', statusCode: 200, durationMs: 5 }
2026-04-02T11:58:17.977Z INFO [correlationId=90d4a46b-96fc-4190-b52f-5f69984b66fb] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/index-DBrgNukz.css', statusCode: 200, durationMs: 10 }
2026-04-02T11:58:17.981Z INFO [correlationId=e83bdbe4-f28d-44aa-a72c-146fb82326ff] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/index-CyKd0Y8p.js', statusCode: 200, durationMs: 15 }
2026-04-02T11:58:17.982Z INFO [correlationId=4fb28daa-20f7-4b92-adaf-16d51816fd0e] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/three-C_UKAyhS.js', statusCode: 200, durationMs: 13 }
2026-04-02T11:58:18.117Z INFO [correlationId=0a2d9412-89aa-40d7-86a1-c6a6ca295986] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/SettingsSurface-BoPWBVlo.js', statusCode: 200, durationMs: 7 }
2026-04-02T11:58:18.118Z INFO [correlationId=b534a3ef-ce3c-4758-b7be-75e5f3949372] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/check-B6Mz37QN.js', statusCode: 200, durationMs: 5 }
2026-04-02T11:58:18.118Z INFO [correlationId=ae9fae39-2214-4d22-a45f-c1e052540738] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/refresh-cw-CNuy092Q.js', statusCode: 200, durationMs: 5 }
2026-04-02T11:58:18.122Z INFO [correlationId=1df08f19-30d5-4495-a4ee-831cd260f671] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/SettingsPage-0cs72_Pq.js', statusCode: 200, durationMs: 14 }
2026-04-02T11:58:18.123Z INFO [correlationId=4c14a2a7-c195-420b-813f-073f85ebda7a] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/assets/target-oLltUpJP.js', statusCode: 200, durationMs: 7 }
2026-04-02T11:58:18.320Z INFO [correlationId=6d6ef1b1-e681-4583-841e-ed05a32ec2e0] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/projects', statusCode: 200, durationMs: 2 }
2026-04-02T11:58:18.663Z INFO [correlationId=c29314bc-3cb4-4bee-8aa0-3de0c4e871db] Dashboard request completed { service: 'sprint-os', component: 'dashboard-server', method: 'GET', path: '/api/system-settings', statusCode: 200, durationMs: 1 }
